,3
2273,H
2274,H
2275,H
2276,D
2277,H
2278,D
2279,D
2280,A
2281,A
2282,A
2283,D
2284,H
2285,A
2286,H
2287,H
2288,D
2289,D
2290,D
2291,D
2292,A
2293,A
2294,H
2295,H
2296,D
2297,H
2298,A
2299,A
2300,A
2301,H
2302,H
2303,D
2304,H
2305,A
2306,A
2307,A
2308,H
2309,D
2310,A
2311,H
2312,D
2313,A
2314,D
2315,H
2316,H
2317,H
2318,H
2319,A
2320,A
2321,H
2322,A
2323,D
2324,H
2325,D
2326,H
2327,A
2328,A
2329,H
2330,D
2331,H
2332,H
2333,D
2334,D
2335,A
2336,D
2337,D
2338,A
2339,A
2340,H
2341,H
2342,A
2343,A
2344,D
2345,H
2346,H
2347,H
2348,H
2349,D
2350,A
2351,D
2352,H
2353,H
2354,A
2355,H
2356,A
2357,D
2358,A
2359,H
2360,H
2361,H
2362,H
2363,H
2364,H
2365,H
2366,H
2367,D
2368,H
2369,H
2370,A
2371,D
2372,H
2373,H
2374,H
2375,A
2376,A
2377,D
2378,D
2379,A
2380,D
2381,H
2382,H
2383,H
2384,D
2385,H
2386,A
2387,D
2388,H
2389,H
2390,A
2391,H
2392,H
2393,D
2394,H
2395,D
2396,D
2397,A
2398,A
2399,H
2400,H
2401,D
2402,H
2403,A
2404,D
2405,D
2406,D
2407,D
2408,D
2409,H
2410,H
2411,H
2412,D
2413,A
2414,D
2415,A
2416,A
2417,D
2418,D
2419,D
2420,H
2421,H
2422,H
2423,D
2424,H
2425,H
2426,H
2427,H
2428,D
2429,H
2430,A
2431,D
2432,A
2433,H
2434,A
2435,A
2436,H
2437,A
2438,H
2439,H
2440,A
2441,D
2442,D
2443,H
2444,H
2445,A
2446,A
2447,D
2448,A
2449,H
2450,H
2451,H
2452,H
2453,A
2454,D
2455,H
2456,H
2457,H
2458,H
2459,D
2460,H
2461,A
2462,H
2463,H
2464,H
2465,H
2466,H
2467,H
2468,H
2469,D
2470,H
2471,H
2472,D
2473,H
2474,D
2475,A
2476,A
2477,A
2478,D
2479,H
2480,A
2481,D
2482,H
2483,H
2484,D
2485,H
2486,H
2487,A
2488,H
2489,D
2490,A
2491,H
2492,D
2493,D
2494,H
2495,A
2496,D
2497,H
2498,A
2499,H
2500,A
2501,H
2502,D
2503,A
2504,A
2505,D
2506,H
2507,D
2508,A
2509,H
2510,D
2511,A
2512,H
2513,H
2514,D
2515,D
2516,H
2517,D
2518,H
2519,A
2520,H
2521,H
2522,A
2523,A
2524,D
2525,H
2526,H
2527,A
2528,H
2529,H
2530,D
2531,H
2532,A
2533,H
2534,H
2535,H
2536,H
2537,A
2541,D
2542,A
2543,H
2544,A
2545,A
2546,A
2547,H
2548,D
2549,D
2550,H
2551,H
2552,A
2553,H
2554,D
2555,H
2556,D
2557,H
2558,D
2559,D
2560,H
2561,D
2562,A
2563,D
2564,A
2565,A
2566,A
2567,A
2568,A
2569,A
2570,A
2571,H
2572,H
2573,H
2574,H
2575,H
2576,H
2577,H
2578,H
2579,A
2580,D
2581,A
2582,A
2583,H
2584,D
2585,H
2586,H
2587,A
2588,A
2589,A
2590,D
2591,A
2592,D
2593,H
2594,H
2595,H
2596,H
2597,D
2598,D
2599,H
2600,D
2601,A
2602,A
2603,A
2604,D
2605,D
2606,D
2607,D
2608,H
2609,A
2610,A
2611,D
2612,H
2613,D
2614,A
2615,H
2616,A
2617,D
2618,D
2619,H
2620,D
2621,A
2622,D
2623,A
2624,H
2625,H
2626,H
2627,A
2628,D
2629,A
2630,H
2631,D
2632,H
2633,D
2634,H
2635,A
2636,H
2637,H
2638,H
2639,H
2640,A
2641,H
2642,A
2643,A
2644,H
2645,A
2646,H
2647,H
2648,H
2649,D
2650,A
2651,D
2652,A
2653,H
2654,H
2655,A
2656,H
2657,A
2658,H
2659,H
2660,D
2661,H
2662,D
2663,H
2664,H
2665,A
2666,H
2667,D
2668,H
2669,A
2670,D
2671,H
2672,H
2673,A
2674,D
2675,H
2676,H
2677,H
2678,H
2679,D
2680,H
2681,H
2682,H
2683,D
2684,D
2685,H
2686,D
2687,D
2688,D
2689,D
2690,H
2691,H
2692,A
2693,A
2694,H
2695,H
2696,H
2697,A
2698,D
2699,H
2700,A
2701,H
2702,H
2703,A
2704,D
2705,H
2706,D
2707,D
2708,A
2709,A
2710,D
2711,H
2712,D
2713,A
2714,A
2715,D
2716,D
2717,D
2718,D
2719,H
2720,H
2721,H
2722,H
2723,D
2724,D
2725,H
2726,H
2727,H
2728,H
2729,H
2730,H
2731,H
2732,H
2733,H
2734,H
2735,A
2736,H
2737,A
2738,H
2739,H
2740,D
2741,H
2742,A
2743,A
2745,A
2746,D
2747,A
2748,D
2749,H
2752,A
2753,H
2754,H
2755,D
2756,H
2758,H
2759,D
2760,H
2761,A
2762,D
2763,A
2764,A
2765,H
2766,A
2767,H
2770,H
2773,H
2774,H
2775,H
2776,A
2777,D
2778,H
2779,H
2780,A
2781,H
2782,H
2784,D
2785,H
2787,H
2788,D
2789,A
2790,H
2792,D
2793,H
2794,H
2796,H
2797,H
2798,H
2799,D
2800,D
2801,H
2802,D
2803,H
2804,A
2806,A
2807,D
2808,H
2809,A
2811,H
2812,A
2814,H
2815,D
2817,H
2818,D
2819,H
2820,A
2821,A
2822,D
2824,D
2825,H
2826,H
2827,H
2829,H
2830,D
2831,A
2834,D
2835,H
2836,H
2837,A
2838,A
2839,D
2840,H
2841,H
2842,H
2843,D
2844,H
2846,D
2848,H
2849,H
2850,H
2852,A
2854,A
2855,H
2856,A
2857,H
2858,H
2859,D
2860,H
2861,D
2862,A
2863,H
2864,H
2865,H
2867,H
2868,A
2869,D
2871,H
2872,D
2874,H
2875,H
2877,D
2878,A
2879,H
2880,D
2881,H
2882,D
2883,A
2884,A
2885,D
2887,D
2888,H
2889,D
2890,H
2891,A
2892,D
2893,A
2894,A
2895,H
2896,A
2897,H
2898,A
2899,D
2900,A
2901,A
2902,H
2903,H
2904,H
2905,H
2906,A
2907,H
2908,D
2909,H
2910,A
2911,D
2912,D
2913,A
2914,A
2915,A
2916,H
2917,H
2918,A
2919,H
2920,H
2921,H
2922,H
2923,H
2924,H
2925,H
2926,H
2927,D
2928,H
2929,A
2930,A
2931,H
2932,A
2933,D
2934,H
2935,H
2936,A
2937,H
2938,A
2939,D
2940,A
2941,H
2942,H
2943,D
2944,D
2945,H
2946,D
2947,A
2948,A
2949,H
2950,D
2951,H
2952,A
2953,A
2954,A
2955,H
2956,H
2957,H
2958,D
2959,D
2960,D
2961,A
2962,D
2963,A
2964,A
2965,H
2966,H
2967,A
2968,A
2969,H
2970,H
2971,D
2972,D
2973,H
2974,A
2975,D
2976,D
2977,H
2978,H
2979,D
2980,H
2981,H
2982,H
2983,H
2984,A
2985,H
2986,H
2987,D
2988,D
2989,A
2990,A
2991,H
2992,A
2993,D
2994,A
2995,H
2996,H
2997,H
2998,D
2999,D
3000,A
3001,H
3002,H
3003,D
3004,H
3005,H
3006,A
3007,H
3008,A
3009,H
3010,D
3011,D
3012,D
3013,H
3014,H
3015,D
3016,D
3017,D
3018,H
3019,D
3020,H
3021,H
3022,D
3023,A
3024,D
3025,D
3026,H
3027,H
3028,D
3029,A
3030,A
3031,H
3032,H
3033,A
3034,D
3035,A
3036,H
3037,D
3038,A
3039,H
3040,A
3041,D
3042,D
3043,D
3044,D
